# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
17,1942,0.523638,1.233329,4.181849
20,1988,0.496081,1.164219,4.851935
12,1938,0.344918,1.258411,5.275362
14,1947,0.453951,1.166889,5.555087
17,2019,0.537694,1.049420,4.789648
12,1582,0.341791,0.913466,4.618633
14,1953,0.397971,0.901231,3.426233
14,1953,0.416796,0.868572,4.207769
12,1565,0.290381,0.831360,4.621455
15,2048,0.488906,0.981313,4.460533
40,2181,0.669876,1.056178,4.258052
19,2068,0.465578,1.003530,4.235376
40,2172,1.018489,0.935216,3.354666
36,2167,0.596340,0.842269,3.728009
40,2222,0.602907,1.028837,5.061062
40,2219,0.694970,1.104657,4.863470
40,2219,0.687394,1.132868,5.013295
40,2219,0.765639,1.151932,4.614662
40,2216,0.721154,1.036572,3.877439
37,2205,0.642501,1.073300,4.587784
35,2194,0.661386,1.115834,4.666014
37,2194,0.699201,1.212153,4.567346
38,2194,0.763427,1.260707,4.439708
38,2194,0.760081,1.234180,4.405721
39,2270,0.676129,1.305831,5.117592
39,2220,0.678436,1.333984,4.992929
39,2220,0.712894,1.416932,4.654591
39,2220,0.710737,1.433805,4.735183
39,2215,0.762423,1.695754,4.654510
37,2197,0.720458,1.498131,5.211162
37,2197,0.933344,1.826586,5.392863
37,2197,0.723801,1.875297,4.627532
38,2332,0.866258,1.985997,6.508590
38,2303,0.879765,2.192918,5.768117
38,2303,0.785731,1.820907,5.945612
38,2303,0.799625,1.758422,5.623956
38,2298,0.898929,1.982171,4.770774
37,2283,0.731071,1.550841,5.186481
37,2416,0.753201,1.803711,6.676005
38,2366,0.819116,2.207798,6.167149
37,2366,0.990207,1.983393,6.468286
37,2366,0.796758,1.856582,6.220769
37,2355,0.832124,2.086126,5.463206
37,2355,0.800154,1.891622,5.943448
38,2477,0.759449,2.097321,6.791330
38,2417,0.810304,2.644535,5.969234
38,2417,0.881746,2.335945,6.619798
38,2417,0.892328,2.394763,6.669898
38,2410,0.825985,2.333740,5.805253
38,2410,0.869072,2.248183,5.152666
39,2457,0.858451,2.342251,7.222247
38,2438,0.775823,2.310902,6.864097
